#v,0,1,1
Events recorded,94
Main event,907
#0100
Specifications,
, Encryption, 
, , Scheme, CKKS
, , Security, 128 bits
, Extra, 1
, Encryption Parameters
, , Poly modulus degree, 16384
, , Coefficient Modulus, 60, 45, 45, 45, 45, 45, 60
, , Scale, 2^45
, Algorithm, HornerPolyEval, Horner method for polynomial evaluation, single input vector per ciphertext
, Number of threads, 36

, Category, Offline
, , Parameter, Samples requested
, , 0, 1
, , 1, 1
, , 2, 20

, Workload, Logistic Regression PolyD3 242 features
, , Data type, Float64
, , Encrypted op parameters (index), All
, , P(X = X') = sigmoid_pd3(W . X + b)
, , , Elements, Batch size
, , W, 242, 1
, , b, 1, 1
, , X, 242, 20
, , P(X), 1, 20

#0200
,idx,ID,Event,Description,Time ratio num,Time ratio den,Wall time start,Wall time end,Elapsed wall time,CPU time start,CPU time end,Elapsed CPU time,Iterations
,0,902,Initialization,,1,1000000,1.837,1063285.209999999963,1063283.372999999905,2,1063226,1063224,1
,1,903,Encoding pack 0,,1,1000000,6.492,44674.046000000002,44667.554000000004,7,44670,44663,1
,2,905,Encryption,,1,1000000,44695.817000000003,299698.983999999997,255003.166999999987,44695,299689,254994,1
,3,906,Loading,,1,1000000,299724.001999999979,299725.016000000003,1.014000000025,299717,299719,2,1
,4,907,Operation,,1,1000000,299733.655000000028,527777.685999999987,228044.030999999959,299727,4047158,3747431,20
,5,907,Operation,,1,1000000,527783.543999999994,757298.312000000034,229514.76800000004,4047167,7821375,3774208,20
,6,907,Operation,,1,1000000,757304.548999999999,987409.339999999967,230104.790999999968,7821385,11606564,3785179,20
,7,907,Operation,,1,1000000,987415.224000000046,1215847.610000000102,228432.386000000057,11606574,15364059,3757485,20
,8,907,Operation,,1,1000000,1215853.844999999972,1445382.855999999912,229529.01099999994,15364069,19137137,3773068,20
,9,907,Operation,,1,1000000,1445389.162000000011,1673300.175000000047,227911.013000000035,19137148,22889398,3752250,20
,10,907,Operation,,1,1000000,1673306.429999999935,1900957.773000000045,227651.34300000011,22889409,26631261,3741852,20
,11,907,Operation,,1,1000000,1900963.716999999946,2129079.570999999996,228115.85400000005,26631271,30380601,3749330,20
,12,907,Operation,,1,1000000,2129085.958000000101,2358949.993999999948,229864.035999999847,30380612,34169747,3789135,20
,13,907,Operation,,1,1000000,2358956.152999999933,2585423.552000000142,226467.399000000209,34169757,37905975,3736218,20
,14,907,Operation,,1,1000000,2585429.583000000101,2816830.776000000071,231401.19299999997,37905985,41689100,3783115,20
,15,907,Operation,,1,1000000,2816836.867000000086,3045482.929000000004,228646.061999999918,41689110,45453838,3764728,20
,16,907,Operation,,1,1000000,3045489.177000000142,3275070.533999999985,229581.356999999844,45453847,49227717,3773870,20
,17,907,Operation,,1,1000000,3275076.575000000186,3506631.577000000048,231555.001999999862,49227727,53000769,3773042,20
,18,907,Operation,,1,1000000,3506637.970999999903,3749900.026999999769,243262.055999999866,53000780,56910636,3909856,20
,19,907,Operation,,1,1000000,3749906.700999999885,3978893.217000000179,228986.516000000294,56910646,60681603,3770957,20
,20,907,Operation,,1,1000000,3978898.972000000067,4219257.893000000156,240358.921000000089,60681613,64473331,3791718,20
,21,907,Operation,,1,1000000,4219263.815999999642,4445679.100999999791,226415.285000000149,64473341,68194610,3721269,20
,22,907,Operation,,1,1000000,4445685.429999999702,4672939.634999999776,227254.205000000075,68194620,71929654,3735034,20
,23,907,Operation,,1,1000000,4672945.766999999993,4900847.798000000417,227902.031000000425,71929665,75673582,3743917,20
,24,907,Operation,,1,1000000,4900854.263000000268,5129107.175999999978,228252.912999999709,75673594,79426975,3753381,20
,25,907,Operation,,1,1000000,5129116.23099999968,5356037.901999999769,226921.671000000089,79426988,83158544,3731556,20
,26,907,Operation,,1,1000000,5356043.820000000298,5584550.129999999888,228506.30999999959,83158554,86919597,3761043,20
,27,907,Operation,,1,1000000,5584557.422000000253,5811621.546000000089,227064.123999999836,86919608,90647635,3728027,20
,28,907,Operation,,1,1000000,5811627.603000000119,6040139.848000000231,228512.245000000112,90647645,94410058,3762413,20
,29,907,Operation,,1,1000000,6040146.356999999844,6282232.417000000365,242086.060000000522,94410068,98309102,3899034,20
,30,907,Operation,,1,1000000,6282238.73099999968,6509186.713999999687,226947.983000000007,98309112,102041380,3732268,20
,31,907,Operation,,1,1000000,6509193.654000000097,6738704.263000000268,229510.609000000171,102041391,105813830,3772439,20
,32,907,Operation,,1,1000000,6738710.805999999866,6969960.169999999925,231249.36400000006,105813841,109615282,3801441,20
,33,907,Operation,,1,1000000,6969966.717000000179,7197271.076999999583,227304.359999999404,109615292,113349608,3734316,20
,34,907,Operation,,1,1000000,7197277.569000000134,7426582.712000000291,229305.143000000156,113349619,117111303,3761684,20
,35,907,Operation,,1,1000000,7426589.527999999933,7656203.779000000097,229614.251000000164,117111314,120856072,3744758,20
,36,907,Operation,,1,1000000,7656211.245000000112,7897990.703999999911,241779.458999999799,120856084,124790046,3933962,20
,37,907,Operation,,1,1000000,7897997.235000000335,8126673.429999999702,228676.194999999367,124790056,128544682,3754626,20
,38,907,Operation,,1,1000000,8126679.493999999948,8368354.768000000156,241675.274000000209,128544692,132429955,3885263,20
,39,907,Operation,,1,1000000,8368361.06799999997,8595551.644999999553,227190.576999999583,132429965,136175851,3745886,20
,40,907,Operation,,1,1000000,8595557.945000000298,8823433.201999999583,227875.256999999285,136175861,139931311,3755450,20
,41,907,Operation,,1,1000000,8823439,9052799.708000000566,229360.708000000566,139931321,143707193,3775872,20
,42,907,Operation,,1,1000000,9052805.975999999791,9283051.8479999993,230245.871999999508,143707203,147500723,3793520,20
,43,907,Operation,,1,1000000,9283057.951999999583,9511936.86400000006,228878.912000000477,147500733,151265121,3764388,20
,44,907,Operation,,1,1000000,9511943.029999999329,9739259.342000000179,227316.312000000849,151265130,155005036,3739906,20
,45,907,Operation,,1,1000000,9739265.449999999255,9982101.625,242836.175000000745,155005046,158948381,3943335,20
,46,907,Operation,,1,1000000,9982107.580000000075,10212907.871999999508,230800.291999999434,158948390,162738438,3790048,20
,47,907,Operation,,1,1000000,10212914.917999999598,10450195.991000000387,237281.07300000079,162738449,166575163,3836714,20
,48,907,Operation,,1,1000000,10450202.45900000073,10681510.134999999776,231307.675999999046,166575174,170353922,3778748,20
,49,907,Operation,,1,1000000,10681517.178999999538,10934056.714999999851,252539.536000000313,170353935,174188385,3834450,20
,50,907,Operation,,1,1000000,10934063.17699999921,11162578.083000000566,228514.906000001356,174188395,177954673,3766278,20
,51,907,Operation,,1,1000000,11162584.280999999493,11390462.110999999568,227877.830000000075,177954683,181699636,3744953,20
,52,907,Operation,,1,1000000,11390468.812000000849,11619409.869000000879,228941.05700000003,181699647,185474314,3774667,20
,53,907,Operation,,1,1000000,11619416.505999999121,11848884.077999999747,229467.572000000626,185474325,189240678,3766353,20
,54,907,Operation,,1,1000000,11848889.793999999762,12078227.251000000164,229337.457000000402,189240687,193011764,3771077,20
,55,907,Operation,,1,1000000,12078233.51099999994,12319905.615000000224,241672.104000000283,193011774,196828652,3816878,20
,56,907,Operation,,1,1000000,12319911.642000000924,12548152.917999999598,228241.275999998674,196828662,200593089,3764427,20
,57,907,Operation,,1,1000000,12548159.561000000685,12777880.176000000909,229720.615000000224,200593100,204362763,3769663,20
,58,907,Operation,,1,1000000,12777886.582000000402,13008191.685000000522,230305.103000000119,204362774,208143220,3780446,20
,59,907,Operation,,1,1000000,13008198.4020000007,13236821.203999999911,228622.80199999921,208143231,211906813,3763582,20
,60,907,Operation,,1,1000000,13236827.312999999151,13465547.61400000006,228720.301000000909,211906823,215659078,3752255,20
,61,907,Operation,,1,1000000,13465553.879000000656,13708391.923000000417,242838.043999999762,215659087,219596731,3937644,20
,62,907,Operation,,1,1000000,13708397.595000000671,13939368.464999999851,230970.86999999918,219596740,223389670,3792930,20
,63,907,Operation,,1,1000000,13939375.436000000685,14169820.177999999374,230444.741999998689,223389681,227171994,3782313,20
,64,907,Operation,,1,1000000,14169826.707000000402,14408557.148000000045,238730.440999999642,227172004,231016323,3844319,20
,65,907,Operation,,1,1000000,14408562.505999999121,14638175.069000000134,229612.563000001013,231016332,234787404,3771072,20
,66,907,Operation,,1,1000000,14638181.372999999672,14869139.663000000641,230958.290000000969,234787414,238556822,3769408,20
,67,907,Operation,,1,1000000,14869145.93200000003,15098557.918999999762,229411.986999999732,238556832,242322022,3765190,20
,68,907,Operation,,1,1000000,15098564.267999999225,15327898.36999999918,229334.101999999955,242322032,246077041,3755009,20
,69,907,Operation,,1,1000000,15327904.194000000134,15558706.461999999359,230802.267999999225,246077050,249846546,3769496,20
,70,907,Operation,,1,1000000,15558712.946000000462,15786733.742000000551,228020.796000000089,249846556,253598335,3751779,20
,71,907,Operation,,1,1000000,15786740.032999999821,16015799.623999999836,229059.591000000015,253598345,257371124,3772779,20
,72,907,Operation,,1,1000000,16015805.8479999993,16246308.912000000477,230503.064000001177,257371135,261158118,3786983,20
,73,907,Operation,,1,1000000,16246315.417999999598,16486083.611999999732,239768.194000000134,261158128,265037209,3879081,20
,74,907,Operation,,1,1000000,16486089.31799999997,16713403.478000000119,227314.160000000149,265037218,268786555,3749337,20
,75,907,Operation,,1,1000000,16713409.150000000373,16942888.763999998569,229479.613999998197,268786564,272549693,3763129,20
,76,907,Operation,,1,1000000,16942895.015999998897,17172649.738000001758,229754.722000002861,272549704,276317322,3767618,20
,77,907,Operation,,1,1000000,17172656.210999999195,17405521.991000000387,232865.780000001192,276317332,280141163,3823831,20
,78,907,Operation,,1,1000000,17405528.004999998957,17633776.249000001699,228248.244000002742,280141172,283891721,3750549,20
,79,907,Operation,,1,1000000,17633782.885000001639,17888444.445000000298,254661.559999998659,283891731,287819068,3927337,20
,80,907,Operation,,1,1000000,17888450.105999998748,18120208.188999999315,231758.083000000566,287819078,291638119,3819041,20
,81,907,Operation,,1,1000000,18120214.45699999854,18373883.833000000566,253669.376000002027,291638129,295562112,3923983,20
,82,907,Operation,,1,1000000,18373889.870000001043,18603471.524000000209,229581.653999999166,295562122,299332794,3770672,20
,83,907,Operation,,1,1000000,18603478.116000000387,18831434.22899999842,227956.112999998033,299332805,303085528,3752723,20
,84,907,Operation,,1,1000000,18831440.328000001609,19064254.035000000149,232813.70699999854,303085538,306921287,3835749,20
,85,907,Operation,,1,1000000,19064260.478000000119,19291617.684999998659,227357.20699999854,306921297,310655761,3734464,20
,86,907,Operation,,1,1000000,19291624.442000001669,19520533.885000001639,228909.44299999997,310655772,314424785,3769013,20
,87,907,Operation,,1,1000000,19520540.405999999493,19751351.552000001073,230811.14600000158,314424796,318218506,3793710,20
,88,907,Operation,,1,1000000,19751358.366000000387,19991700.528000000864,240342.162000000477,318218517,322118612,3900095,20
,89,907,Operation,,1,1000000,19991706.364999998361,20220497.789999999106,228791.425000000745,322118621,325874615,3755994,20
,90,907,Operation,,1,1000000,20220503.84299999848,20447403.589999999851,226899.747000001371,325874626,329612946,3738320,20
,91,908,Store,,1,1000000,20447447.164000000805,20447448.539999999106,1.375999998301,329612994,329612996,2,1
,92,909,Decryption,,1,1000000,20447453.173999998719,20447540.546000000089,87.372000001371,329613000,329613088,88,1
,93,910,Decoding,,1,1000000,20447547.234999999404,20448079.175999999046,531.940999999642,329613094,329613625,531,1
#8E00

#8FFF
